pixel_count,mounting_configuration,power
30897,2,218.62
30300,2,183.6
26019,2,128.52
26622,2,136
36720,2,193.46
19221,2,138.72
90672,2,618.24
18399,2,476.16
26694,2,253.44
51945,2,263.04
65592,2,284.16
36819,2,17.28
59931,2,324.48
36105,2,76.8
56184,2,276.8
197172,1,750.93
42642,1,106.925
204726,2,1274.7
96444,1,439.488
69378,1,439.488
117750,1,502.272
37851,2,156.6
21372,2,104.4
20289,2,108.75
34242,2,261
17214,2,117.45
15330,2,104.4
22770,2,104.4
21396,2,130.5
16185,2,91.35
28113,2,113.1
30156,2,152.25
18753,2,117.45
25767,2,365.4
15624,2,104.4
18762,2,104.4
17199,2,95.7
12045,2,91.35
38007,2,182.7
20499,2,130.5
27396,2,104.4
16539,2,52.2
21864,2,156.6
24288,2,165.3
24099,2,204.45
18936,2,143.55
20226,2,117.45
17571,2,130.5
20001,2,156.6
21324,2,182.7
18834,2,130.5
21699,2,156.6
89643,2,730.8
53655,2,1017.9
657678,2,3758.4
27261,1,152.25
36096,2,208.8
17592,2,182.7
19899,2,141
38838,2,282
22617,2,169.2
23286,2,183.3
36465,2,192.7
67806,2,410.4
235428,2,1816.92
16767,2,172.8
36528,2,170.8
40524,2,190.8
34302,2,201.3
25029,2,134.2
61881,2,221.68
27303,1,152.88
45786,1,81.9
5415,2,633.08
19905,2,86.94
9660,2,49.68
213168,3,971
186516,1,500.08
34482,2,201.84
21696,2,323.64
43770,2,211.83
111522,2,925.2
22839,2,468
38838,2,536.4
36750,2,514.8
35886,2,615.6
68823,2,481.44
127539,2,548.7
35160,2,548.41
28431,2,186.3
50664,2,235.98
28362,2,215.28
53766,2,409.86
15774,2,151.11
39618,2,248.4
41358,2,263.58
11082,2,186.3
28092,2,173.88
185874,3,995.41
142785,1,785.18
42405,1,198.66
115839,1,761.53
250338,2,743.04
151086,1,600.27
265074,2,1173.44
238983,2,2380.8
47724,1,1176.48
43455,1,130.72
38808,1,161.12
126405,1,270.56
86550,1,307.04
75435,1,355.68
91737,1,562.4
48795,1,201.24
32640,2,132.48
72534,2,366.39
27087,2,165.6
23313,2,413.31
42648,2,259.44
29934,2,130.41
16128,2,82.8
12615,2,54.51
39048,2,177.68
65520,2,107.3
54639,2,216.32
56049,2,277.38
31866,2,151.8
64281,2,160.77
24888,2,78.66
27036,2,161.46
28308,2,164.7
85218,2,402.6
53943,2,309.96
132087,1,239.4
35655,3,153.72
26892,2,167.75
102579,1,383.04
87681,1,299.04
142620,1,417.6
82083,1,269.78
119385,1,443.52
101208,1,330
72996,1,412.8
77718,1,311.6
81732,1,316.94
98607,1,456.485
95085,1,367.36
82536,1,401.38
83304,1,286.65
95406,1,401.28
65568,1,138.24
13422,1,208
108459,1,475.19
32400,2,130.98
32922,2,113.28
148449,2,309.72
35118,2,191.16
73056,2,588.12
28311,2,187.62
55824,2,219.48
75192,1,277.095
50412,1,76.95
30939,1,92.4
45030,2,139.08
28839,2,109.74
70218,2,421.26
23061,1,40.56
19470,1,165.62
21021,2,161.88
28548,2,32.31
28548,2,123.54
42429,2,242.5
63213,3,270.7
34440,1,73.7
10419,2,95.7
10419,2,82.5
10419,2,62.7
83661,2,464.4
81552,2,497.76
65730,2,438.48
71310,2,378
88368,2,514.23
66510,2,363.6
72288,2,452.4
195174,1,1209.6
43998,2,204.6
456687,3,2377.8
72981,2,506.88
173106,2,1149.12
102972,1,404.63
118914,2,733.2
44676,2,157.3
40866,2,317.2
30828,2,109.8
21507,2,97.6
17214,2,97.6
25086,2,61
55665,1,247.08
1047960,3,21902
31149,2,214.32
169131,3,993.6
237327,1,1001.1
34002,1,69.12
26547,1,79.95
23355,1,86.4
11508,1,84.36
29280,1,76.8
48654,2,216.92
10713,2,195.84
23913,2,149.6
31581,2,161.16
15738,2,134.3
26703,2,170
32898,2,212.84
68637,1,383.18
27387,1,67.62
39666,1,87.36
42909,1,95.2
39348,2,226.8
41340,2,292.8
45210,2,302.4
28731,2,180
45624,2,290.4
37293,2,226.8
74241,2,319.05
29517,2,173.85
62637,2,173.85
21765,2,63
33501,2,216
47361,2,288
72420,2,378
29196,2,180
37623,2,255.6
42693,2,279
32739,2,171.99
39543,2,264.6
75138,2,315
39786,2,252
31104,2,198
60594,2,226.8
27537,2,140.4
42468,2,302.4
26631,2,183
61509,2,315
42138,2,256.2
45498,2,419.4
30642,2,210.45
32142,2,253.8
37386,2,226.8
43752,2,288
20946,2,510.3
51600,2,270
36630,2,204.12
41532,2,264.6
70188,2,343.8
21813,2,137.25
41661,2,292.8
335799,3,1295.64
155712,3,796.05
79938,3,395.28
191436,3,988.2
131016,3,724.68
58467,2,394.8
31455,2,278.4
23580,1,40.32
12894,1,33.44
23679,1,36.75
25806,1,48.96
23034,1,44.064
21216,1,30.6
30426,1,40.53
25272,1,47.952
23532,1,37.24
25935,1,63.36
18720,1,28.5
17067,1,39.2
21612,1,31.35
26700,1,45.22
14586,1,38.5
266235,1,1185.28
35148,1,39.52
35262,1,38.025
22632,1,37.05
26901,1,40.425
21705,1,48.45
29076,1,51.68
34503,1,37.4
25821,1,39.9
24822,1,37.05
30075,1,63
28551,1,39.52
17889,1,37.05
17553,1,28.5
23835,1,38.22
23040,1,34.2
26052,1,39.27
19017,1,45.22
20418,1,25.65
22449,1,42.56
26196,1,51.84
20238,1,36.75
23124,1,37.05
25476,2,665.55
11763,2,39.15
27894,2,282
21768,2,211.5
84531,1,977.76
88068,1,155.52
25479,1,156.96
56877,1,168.732
38358,1,635.688
24990,2,846
44928,2,310.2
44010,2,277.3
30423,2,225.6
23625,2,182.7
32328,2,169.65
34737,1,141.3
52263,2,390.1
75378,2,548.25
71847,2,695.856
76956,2,591.6
39231,2,1096.2
69579,1,652.5
100779,1,1109.25
56577,2,430.65
43290,2,326.25
28560,2,187.05
78855,3,261
48438,2,261
111246,2,457.8
39324,2,274.68
31089,2,292.992
29229,2,219.744
32691,2,173.964
66147,2,778.26
21780,2,128.184
81201,1,677.544
100890,1,531.048
95859,1,714.168
89058,1,549.36
239460,1,928.62
118362,1,355.77
69168,3,285.12
58401,1,142.56
83529,1,344.52
80658,1,318.6
92064,1,260.82
70044,1,335.34
79743,1,335.34
79710,1,306.18
50748,1,217.35
88284,1,471.96
88284,1,484.38
21372,1,45.54
66789,1,182.16
42936,1,113.85
63420,1,229.77
38952,1,117.65
59487,1,113.85
229044,1,638.82
61398,1,304.98
61140,1,274.64
101922,1,255.84
76986,1,190.74
12321,1,1834.56
30234,1,47.84
355698,1,2499.42
84750,1,168.03
59004,1,272.06
60723,1,233.7
35940,1,247.8
